collegeId,collegeName,type,accreditation,rankingTier,state,district,region,address,website,rating,latitude,longitude,searchKeywords
UGC-1032-654,Sikkim Global Technical University,Private,UGC 2(f),Unranked,Sikkim,,India,"Link Road, Bhutia Basti, District Namchi, Opp. to Reliance 737126",,3.9,0,0,University|Degree|Higher Education
UGC-1033-96,Sikkim International University,Private,UGC 2(f),Unranked,Sikkim,,India,"P.O. SribadamP.S. Kaluk, West SikkimSikkim-737121 737121",,4.8,0,0,University|Degree|Higher Education
UGC-1034-903,Sikkim Manipal University,Private,UGC 2(f),Unranked,Sikkim,,India,"5th Mile Tadong, GangtokEast Sikkim 737102",,4.4,0,0,University|Degree|Higher Education
UGC-1035-554,Sikkim Medical Science University,Private,UGC 2(f),Unranked,Sikkim,,India,"Jorethang Road, Near Petrol Pump, Namchi 737126",,4.7,0,0,University|Degree|Higher Education
UGC-1036-203,Sikkim National Law University,State University,UGC 2(f),Unranked,Sikkim,,India,Sikkim Government Law CollegeBurtuk(Campus)Gangtok 737101,,4.6,0,0,University|Degree|Higher Education
UGC-1037-176,Sikkim Organic Agriculture University,Private,UGC 2(f),Unranked,Sikkim,,India,"Pragati Chaowk, District - Soreng 737121",,4.6,0,0,University|Degree|Higher Education
UGC-1038-9,Sikkim Professional University (Formerly Vinayaka Missions Sikkim University),Private,UGC 2(f),Unranked,Sikkim,,India,"NH 31-A Tadong, Gangtok,East Sikkim 737 102",,3.9,0,0,University|Degree|Higher Education
UGC-1039-181,Sikkim Sardar Patel University,Private,UGC 2(f),Unranked,Sikkim,,India,"Jorethang Road, Namchi, 7377126",,4.5,0,0,University|Degree|Higher Education
UGC-1040-399,Sikkim Skill University,Private,UGC 2(f),Unranked,Sikkim,,India,"Namthang,Namthang Bazaar,South Sikkim, 737137",,4.5,0,0,University|Degree|Higher Education
UGC-1041-820,Sikkim University,Central University,UGC 2(f) & 12(B),Unranked,Sikkim,,India,"6th Mile, SamdurP.O. Tadong,Gangtok 737102",,4.1,0,0,University|Degree|Higher Education
UGC-1042-486,Siksha 'O' Anusandhan,Deemed,UGC Section-III & 12(B),Unranked,Odisha,,India,"Khandagiri Marg, Dharam Vihar, Jagamara, Bhubaneswar 751030",,4,0,0,University|Degree|Higher Education
UGC-1043-400,Silicon University,Private,UGC 2(f),Unranked,Odisha,,India,"Silicon Hills, Patia, District- Khorda, Bhubaneswar 751024",,4.3,0,0,University|Degree|Higher Education
UGC-1044-240,Silver Oak University,Private,UGC 2(f),Unranked,Gujarat,,India,"Nr. Bhavik Publications, Opp. Bhagwat Vidhyapith, S.G. Highway, Gota,Ahmedabad Gota,Ahmedabad 382481",,4.8,0,0,University|Degree|Higher Education
UGC-1045-367,Sindhu Central University,Central University,UGC 2(f) & 12(B),Unranked,Ladakh,,India,"Melongthang Leh-Ladakh,Near FRL 194101",,4.7,0,0,University|Degree|Higher Education
UGC-1046-791,Singhania University,Private,UGC 2(f),Unranked,Rajasthan,,India,Pacheri BariDistrict Jhunjhunu 333515,,3.9,0,0,University|Degree|Higher Education
UGC-1047-844,"Sir J.J.School of  Art, Architecture & Design, Mumbai",Deemed,UGC Section-III,Unranked,Maharashtra,,India,"78, Dr. D. N. Road, Fort Mumbai 400001",,4.8,0,0,University|Degree|Higher Education
UGC-1048-287,Sir Padmapat Singhania University,Private,UGC 2(f),Unranked,Rajasthan,,India,"Bhatewar, Udiapur 313 601",,4.1,0,0,University|Degree|Higher Education
UGC-1049-874,Sister Nivedita University,Private,UGC 2(f),Unranked,West Bengal,,India,"DG-1/2, ACTION AREA-I, NEWTOWN, KOLKATARajarhatKolkata 700156",,4,0,0,University|Degree|Higher Education
UGC-1050-247,SKIPS University,Private,UGC 2(f),Unranked,Gujarat,,India,"Plot No. 411, Sanavad, Kalol, Gandhinagar 382721",,4.3,0,0,University|Degree|Higher Education
UGC-1051-929,Smt. Manjira Devi University,Private,UGC 2(f),Unranked,Uttarakhand,,India,"Hitanu Dhanari, Dunda, Uttarkashi 249151",,4.4,0,0,University|Degree|Higher Education
UGC-1052-625,Smt. Nathibai Damodar Thackersey Women's University,State University,UGC 2(f) & 12(B),Unranked,Maharashtra,,India,"1,Nathibai Thackersay Rd.Mumbai - 400 020.",,4.6,0,0,University|Degree|Higher Education
UGC-1053-757,Soban Singh Jeena University,State University,UGC 2(f),Unranked,Uttarakhand,,India,Almora,,4.1,0,0,University|Degree|Higher Education
UGC-1054-991,Somaiya Vidyavihar University,Private,UGC 2(f),Unranked,Maharashtra,,India,"Office of the Registrar, 101, AryaBhat Building, Somaiya Vidyavihar UniversityVidyavihar (East), Mumbai 400077",,3.9,0,0,University|Degree|Higher Education
UGC-1055-439,Sona Devi University,Private,UGC 2(f),Unranked,Jharkhand,,India,"Kitadih, PO & PS Ghatsila North Maubhandar, East Singhbhum 832303",,4.7,0,0,University|Degree|Higher Education
UGC-1056-899,South Asian University,Central University,UGC 2(f) & 12(B),Unranked,Delhi,,India,"Rajpur Road, Maidan Garhi, New Delhi 110068",,4.7,0,0,University|Degree|Higher Education
UGC-1057-69,Sparsh Himalaya University,Private,UGC 2(f),Unranked,Uttarakhand,,India,"Headquarter Fatehpur Tanda, Jeevanwala, Via Doiwala, Dehradun 248140",,4.1,0,0,University|Degree|Higher Education
